,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
525,Louis The Child,Fire,1bVR1UVkeaJRK5LNpIe7Gp,54,7wg1qvie3KqDNQbAkTdbX0,"['7wg1qvie3KqDNQbAkTdbX0', '68WwJXWrpo1yVOOIZjLSeT']","['Louis The Child', 'Evalyn']",2016,edm
526,Warriyo,Mortals,3Fg5uhtWBlW0es8GSqQ6Ff,68,153gpNcKRhv5Cn30q375Mr,['153gpNcKRhv5Cn30q375Mr'],['Warriyo'],2016,edm
527,pluko,Breath,0peDcDwrKV0LEeoQuSQVLG,58,01qbSocTDAe2DmKayS89A5,"['01qbSocTDAe2DmKayS89A5', '1gydLLHpbmraVz1LVZCW83']","['pluko', 'pronouncedyea']",2016,edm
528,Snakehips,Dímelo,6Xi897JXNLSoIaoYZwgTLc,57,2FwJwEswyIUAljqgjNSHgP,"['2FwJwEswyIUAljqgjNSHgP', '2jku7tDXc6XoB6MO2hFuqg']","['Snakehips', 'Tory Lanez']",2016,edm
529,Flume,Smoke & Retribution (feat. Vince Staples & Kučka),52WyhmhBgVbCuRJkJbLfTw,54,6nxWCVXbOlEVRexSbLsTer,"['6nxWCVXbOlEVRexSbLsTer', '68kEuyFKyqrdQQLLsmiatm', '6JcD2YKEhgimweLpUI0NEw']","['Flume', 'Vince Staples', 'KUČKA']",2016,edm
530,ILLENIUM,It's All on U - T-Mass & LZRD Remix,0Vc3nfRMdvY5iX6AHVWSMN,58,45eNHdiiabvmbp4erw26rg,"['45eNHdiiabvmbp4erw26rg', '75aiMKKxzFHGFRxyLwvL2d', '0M3cZtjQZ8fz3Hbw1A4CwF', '6O2ODylN42JL651p1vcIYQ']","['ILLENIUM', ""Liam O'Donnell"", 'T-Mass', 'LZRD']",2016,edm
531,Zara Larsson,Ain't My Fault - R3hab Remix,3YPlsrk0Voe8AOa1jyN891,64,1Xylc3o4UrD53lo9CvFvVg,"['1Xylc3o4UrD53lo9CvFvVg', '6cEuCEZu7PAE9ZSzLLc2oQ']","['Zara Larsson', 'R3HAB']",2016,edm
532,Ofenbach,Be Mine,2KklXplRtxMsBYo474Es0w,72,4AKwRarlmsUlLjIwt38NLw,['4AKwRarlmsUlLjIwt38NLw'],['Ofenbach'],2016,edm
533,Defqwop,Heart Afire,4s4XzNKcU3PtmeV7OdXDmv,65,0lfD4Ye7RAbP8FQiuE6aFs,"['0lfD4Ye7RAbP8FQiuE6aFs', '0kjukWYfMpUe8Yr2c9S9Sj']","['Defqwop', 'STRIX']",2016,edm
534,GRiZ,Can't Hold Me Down,5jCyw3gXBuokjBKJJYsDsk,55,25oLRSUjJk4YHNUsQXk7Ut,"['25oLRSUjJk4YHNUsQXk7Ut', '63oJNt0P1lu1EDXUGonpGM']","['GRiZ', 'Tash Neal']",2016,edm
535,Bebe Rexha,No Broken Hearts (feat. Nicki Minaj),4qULqxfCRhJAXVc75UupQB,63,64M6ah0SkkRsnPGtGiRAbb,"['64M6ah0SkkRsnPGtGiRAbb', '0hCNtLu0JehylgoiP8L4Gh']","['Bebe Rexha', 'Nicki Minaj']",2016,edm
536,Excision,Throwin' Elbows,5Z9gjSD3mglkexfM8QbGHo,55,5FKchcZpQOkqFvXBj1aCvb,"['5FKchcZpQOkqFvXBj1aCvb', '37PZXblQTqpEWGdjctNcGP']","['Excision', 'Space Laces']",2016,edm
537,Pretty Lights,Only Yesterday,2M6tHJVrNXZta3Hsjbi70z,53,4iVhFmG8YCCEHANGeUUS9q,['4iVhFmG8YCCEHANGeUUS9q'],['Pretty Lights'],2016,edm
538,Mako,Smoke Filled Room,0cJ4aP0NxGB7QEZeOfdZC1,55,0Ye4nfYAA91T1X56gnlXAA,['0Ye4nfYAA91T1X56gnlXAA'],['Mako'],2016,edm
539,Elephante,Dynasty,2PSEa6CJkdwM96iLo7hkZQ,57,3fjs4zbBFxEFFe8Wyojo0G,"['3fjs4zbBFxEFFe8Wyojo0G', '0h3YCmvRJ2jqt4jFiR6nGL']","['Elephante', 'MIIA']",2016,edm
540,ZHU,Hometown Girl,7CNRVEMSXo0fRJwZyM0L2n,57,28j8lBWDdDSHSSt5oPlsX2,['28j8lBWDdDSHSSt5oPlsX2'],['ZHU'],2016,edm
541,ZHU,Good Life,6MWYSp8nWt4IZiRMCDPHXT,62,28j8lBWDdDSHSSt5oPlsX2,['28j8lBWDdDSHSSt5oPlsX2'],['ZHU'],2016,edm
542,Marshmello,Ritual (feat. Wrabel),04AYgtKFrpldRXe5y0LNGQ,59,64KEffDW9EtZ1y2vBYgq8T,"['64KEffDW9EtZ1y2vBYgq8T', '7r2uG6BlFXKcwmh9ItqlII']","['Marshmello', 'Wrabel']",2016,edm
543,The Chainsmokers,Inside Out,7sG2bWi2eDtvX9vX8yC1Gn,60,69GGBxA162lTqCwzJG5jLp,"['69GGBxA162lTqCwzJG5jLp', '6qaQDRYp95AylkA1FnEI3Q']","['The Chainsmokers', 'Charlee']",2016,edm
544,Tritonal,Getaway,0aAVBcORefVNADGxgqh8XM,57,521qvhdobR0GzhvU6TFw76,"['521qvhdobR0GzhvU6TFw76', '6D5xkX8ecb4bGccXqtDI63']","['Tritonal', 'Angel Taylor']",2016,edm
